node,type_node,x,y,t_arr,t_begin_service,t_wait,t_departure,ride_time,num_passenger,qi,ei,li,service_or_chg_time,Li,lyr,cus_set
72,depot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1257.7590797602056,0.0,0.0,1,Int64[]
61,bus stop,2.66276,-0.55869,3.277999819791227,239.58300027031316,0.0,240.08300027031316,4.916999729686836,4,4,239.58300027031316,256.2220001802088,0.5,4.91699972968684,1,"[92, 111, 135, 172]"
53,bus stop,1.86276,-1.35869,241.4460976798294,241.72213680546258,0.0,242.22213680546258,2.7778631945374173,20,16,240.33320520819385,256.7221368054626,0.5,4.166794791806142,1,"[74, 75, 76, 78, 83, 97, 109, 118, 134, 137, 142, 154, 162, 180, 192, 198]"
70,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,4,-16,245.0,260.0,0.0,4.166794791806142,1,Int64[]
70,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,0,-4,245.0,260.0,0.0,4.91699972968684,1,Int64[]
72,depot,0.0,0.0,245.0,245.0,0.0,245.0,0.0,0,0,0.0,1257.7590797602056,0.0,0.0,1,Int64[]
